City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
291,ulaangom,0,MN,1554294746,77,49.98,92.07,39.83,0.72
292,qasigiannguit,40,GL,1554292200,63,68.82,-51.19,26.6,29.97
293,hamilton,75,BM,1554294688,88,32.3,-64.78,73.99,17.22
294,calabozo,0,VE,1554294747,67,8.92,-67.43,78.17,14.25
295,onega,8,RU,1554294747,73,63.91,38.09,37.49,12.91
296,steinbach,20,CA,1554294726,73,49.53,-96.69,23.0,11.41
297,prachuap khiri khan,56,TH,1554294749,62,11.81,99.79,82.76,3.18
298,waddan,0,LY,1554294749,35,29.16,16.14,71.78,4.52
299,kieta,88,PG,1554294749,100,-6.22,155.63,76.64,3.62
300,manggar,44,ID,1554294750,96,-2.88,108.27,79.97,2.95
301,muros,75,ES,1554294713,75,42.77,-9.06,57.0,19.46
302,port lincoln,68,AU,1554294750,92,-34.72,135.86,65.3,14.03
303,soyo,36,AO,1554294750,74,-6.13,12.37,88.7,3.4
304,kirishi,0,RU,1554294751,54,59.45,32.01,48.92,3.62
305,kimbe,80,PG,1554294751,100,-5.56,150.15,79.88,1.16
306,mazara del vallo,40,IT,1554294671,72,37.65,12.59,62.6,21.92
307,sioux lookout,20,CA,1554292800,72,50.1,-91.92,14.0,10.29
308,ilo,0,PE,1554292800,82,-17.65,-71.34,68.0,3.36
309,jasidih,0,IN,1554294752,22,24.51,86.65,92.75,7.43
310,sistranda,0,NO,1554294651,42,63.73,8.83,48.2,6.93
311,ampanihy,0,MG,1554294752,32,-24.69,44.75,92.03,4.41
312,huautla,88,MX,1554294753,100,21.03,-98.29,61.34,2.39
313,geraldton,20,CA,1554292800,61,49.72,-86.95,15.8,9.17
314,vite,75,ES,1554294713,75,42.89,-8.54,51.8,19.46
315,niquelandia,0,BR,1554294753,82,-14.47,-48.46,79.7,3.96
316,port shepstone,20,ZA,1554294753,91,-30.74,30.45,74.39,19.84
317,ozernovskiy,76,RU,1554294754,90,51.5,156.52,31.28,3.51
318,constitucion,75,MX,1554289860,50,23.99,-104.67,51.8,6.93
319,souillac,64,FR,1554294726,87,45.6,-0.6,53.01,18.34
320,zhanaozen,88,KZ,1554294755,99,43.35,52.85,46.04,16.26
321,balikpapan,20,ID,1554292800,100,-1.24,116.86,77.0,3.36
322,flinders,90,AU,1554294726,82,-34.58,150.85,68.0,4.7
323,jardim,88,BR,1554294755,82,-21.48,-56.15,77.0,10.67
324,voznesenye,0,RU,1554294755,75,61.02,35.48,41.09,9.1
325,erenhot,20,CN,1554294756,31,43.65,111.97,51.89,13.47
326,gonen,40,IL,1554294697,39,33.12,35.65,66.2,5.82
327,vilyuysk,44,RU,1554294756,76,63.75,121.63,27.32,2.62
328,anadyr,0,RU,1554294750,92,64.73,177.51,14.0,2.24
